Author,UppercaseLetter,UppercaseLetter_pertokens,LowercaseLetter,LowercaseLetter_pertokens,TitlecaseLetter,TitlecaseLetter_pertokens,ModifierLetter,ModifierLetter_pertokens,OtherLetter,OtherLetter_pertokens,NonSpacingMark,NonSpacingMark_pertokens,SpacingCombiningMark,SpacingCombiningMark_pertokens,EnclosingMark,EnclosingMark_pertokens,DecimalDigitNumber,DecimalDigitNumber_pertokens,LetterNumber,LetterNumber_pertokens,OtherNumber,OtherNumber_pertokens,SpaceSeparator,SpaceSeparator_pertokens,LineSeparator,LineSeparator_pertokens,ParagraphSeparator,ParagraphSeparator_pertokens,Control,Control_pertokens,Format,Format_pertokens,Surrogate,Surrogate_pertokens,PrivateUse,PrivateUse_pertokens,ConnectorPunctuation,ConnectorPunctuation_pertokens,DashPunctuation,DashPunctuation_pertokens,OpenPunctuation,OpenPunctuation_pertokens,ClosePunctuation,ClosePunctuation_pertokens,InitialQuotePunctuation,InitialQuotePunctuation_pertokens,FinalQuotePunctuation,FinalQuotePunctuation_pertokens,OtherPunctuation,OtherPunctuation_pertokens,MathSymbol,MathSymbol_pertokens,CurrencySymbol,CurrencySymbol_pertokens,ModifierSymbol,ModifierSymbol_pertokens,OtherSymbol,OtherSymbol_pertokens,OtherNotAssigned,OtherNotAssigned_pertokens,misspellratio,tokens
AirbnbEng, 129,0.07,8327,4.523,0,0,0,0,0,0,0,0,0,0,0,0,43,0.023,0,0,0,0,1690,0.918,0,0,0,0,31,0.017,0,0,0,0,0,0,0,0,35,0.019,12,0.007,12,0.007,0,0,15,0.008,161,0.087,2,0.001,0,0,0,0,0,0,0,0,0.118,1841
Pinterest Engineering, 121,0.091,5938,4.448,0,0,0,0,0,0,0,0,0,0,0,0,6,0.004,0,0,0,0,1229,0.921,0,0,0,0,24,0.018,0,0,0,0,0,0,0,0,7,0.005,1,0.001,1,0.001,1,0.001,7,0.005,137,0.103,1,0.001,0,0,0,0,0,0,0,0,0.167,1335
Pinterest Engineering, 164,0.093,8182,4.654,0,0,0,0,0,0,0,0,0,0,0,0,21,0.012,0,0,0,0,1565,0.89,0,0,0,0,39,0.022,0,0,0,0,0,0,0,0,17,0.01,5,0.003,5,0.003,5,0.003,26,0.015,196,0.111,1,0.001,0,0,0,0,0,0,0,0,0.178,1758
Per Harald Borgen, 143,0.105,5378,3.957,0,0,0,0,0,0,0,0,0,0,0,0,21,0.015,0,0,0,0,1181,0.869,0,0,0,0,46,0.034,0,0,0,0,0,0,0,0,7,0.005,9,0.007,10,0.007,1,0.001,39,0.029,143,0.105,1,0.001,0,0,0,0,0,0,0,0,0.175,1359
Per Harald Borgen, 225,0.153,5704,3.88,0,0,0,0,0,0,0,0,0,0,0,0,26,0.018,0,0,0,0,1315,0.895,0,0,0,0,44,0.03,0,0,0,0,0,0,0,0,7,0.005,3,0.002,3,0.002,0,0,35,0.024,152,0.103,0,0,0,0,0,0,0,0,0,0,0.192,1470
Ahmed El Deeb, 111,0.082,6168,4.549,0,0,0,0,0,0,0,0,0,0,0,0,21,0.015,0,0,0,0,1215,0.896,0,0,0,0,29,0.021,0,0,0,0,0,0,0,0,32,0.024,9,0.007,9,0.007,2,0.001,8,0.006,145,0.107,2,0.001,0,0,0,0,0,0,0,0,0.158,1356
Ahmed El Deeb, 27,0.114,1161,4.919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0.886,0,0,0,0,8,0.034,0,0,0,0,0,0,0,0,4,0.017,2,0.008,2,0.008,0,0,5,0.021,22,0.093,0,0,0,0,0,0,0,0,0,0,0.202,236
Illia Polosukhin, 107,0.231,1810,3.909,0,0,0,0,0,0,0,0,0,0,0,0,11,0.024,0,0,0,0,381,0.823,0,0,0,0,20,0.043,0,0,0,0,0,0,2,0.004,5,0.011,7,0.015,7,0.015,0,0,5,0.011,61,0.132,1,0.002,0,0,0,0,0,0,0,0,0.286,463
Illia Polosukhin, 76,0.136,2425,4.354,0,0,0,0,0,0,0,0,0,0,0,0,10,0.018,0,0,0,0,495,0.889,0,0,0,0,17,0.031,0,0,0,0,0,0,2,0.004,9,0.016,5,0.009,7,0.013,0,0,6,0.011,52,0.093,1,0.002,0,0,0,0,0,0,0,0,0.153,557
samim, 53,0.192,1393,5.047,0,0,0,0,0,0,0,0,0,0,0,0,7,0.025,0,0,0,0,249,0.902,0,0,0,0,8,0.029,0,0,0,0,0,0,0,0,13,0.047,3,0.011,3,0.011,0,0,1,0.004,36,0.13,0,0,0,0,0,0,0,0,0,0,0.289,276
samim, 120,0.193,2687,4.313,0,0,0,0,0,0,1,0.002,0,0,0,0,20,0.032,0,0,0,0,548,0.88,0,0,0,0,16,0.026,0,0,0,0,0,0,0,0,12,0.019,4,0.006,4,0.006,1,0.002,3,0.005,89,0.143,1,0.002,0,0,0,0,0,0,0,0,0.293,623
Arthur Juliani, 276,0.152,7655,4.227,0,0,0,0,0,0,0,0,0,0,0,0,26,0.014,0,0,0,0,1669,0.922,0,0,0,0,19,0.01,0,0,0,0,0,0,2,0.001,20,0.011,8,0.004,8,0.004,2,0.001,11,0.006,172,0.095,3,0.002,0,0,0,0,0,0,0,0,0.173,1811
Arthur Juliani, 224,0.133,7233,4.287,0,0,0,0,0,0,0,0,0,0,0,0,25,0.015,0,0,0,0,1519,0.9,0,0,0,0,33,0.02,0,0,0,0,0,0,0,0,13,0.008,14,0.008,14,0.008,3,0.002,14,0.008,172,0.102,2,0.001,0,0,0,0,0,0,0,0,0.169,1687
Andrej Karpathy, 186,0.116,6467,4.024,0,0,0,0,0,0,0,0,0,0,0,0,53,0.033,0,0,0,0,1417,0.882,0,0,0,0,26,0.016,0,0,0,0,0,0,12,0.007,20,0.012,23,0.014,24,0.015,9,0.006,31,0.019,172,0.107,9,0.006,0,0,0,0,0,0,0,0,0.184,1607
Andrej Karpathy, 224,0.109,8865,4.299,0,0,0,0,0,0,0,0,0,0,0,0,65,0.032,0,0,0,0,1822,0.884,0,0,0,0,32,0.016,0,0,0,0,0,0,0,0,18,0.009,23,0.011,23,0.011,9,0.004,25,0.012,280,0.136,8,0.004,0,0,0,0,0,0,0,0,0.196,2062
Vishal Maini, 254,0.156,7439,4.569,0,0,0,0,0,0,0,0,0,0,0,0,62,0.038,0,0,0,0,1416,0.87,0,0,0,0,40,0.025,0,0,0,0,0,0,0,0,35,0.021,13,0.008,13,0.008,3,0.002,18,0.011,223,0.137,0,0,0,0,0,0,2,0.001,0,0,0.225,1628
Vishal Maini, 192,0.077,10810,4.338,0,0,0,0,0,0,2,0.001,0,0,0,0,42,0.017,0,0,0,0,2220,0.891,0,0,0,0,60,0.024,0,0,0,0,0,0,0,0,15,0.006,20,0.008,20,0.008,9,0.004,59,0.024,264,0.106,1,0,1,0,0,0,2,0.001,0,0,0.151,2492
Dhruv Parthasarathy, 647,0.27,9407,3.929,0,0,0,0,0,0,0,0,0,0,0,0,71,0.03,0,0,0,0,2082,0.87,0,0,0,0,62,0.026,0,0,0,0,0,0,0,0,61,0.025,22,0.009,22,0.009,0,0,29,0.012,257,0.107,6,0.003,0,0,0,0,0,0,0,0,0.246,2394
Dhruv Parthasarathy, 257,0.124,7907,3.82,0,0,0,0,0,0,0,0,0,0,0,0,36,0.017,0,0,0,0,1803,0.871,0,0,0,0,69,0.033,0,0,0,0,0,0,11,0.005,4,0.002,12,0.006,12,0.006,1,0,55,0.027,214,0.103,14,0.007,0,0,3,0.001,0,0,0,0,0.2,2070
James Le, 223,0.088,11300,4.447,0,0,0,0,0,0,0,0,0,0,0,0,28,0.011,0,0,0,0,2310,0.909,0,0,0,0,59,0.023,0,0,0,0,0,0,0,0,16,0.006,31,0.012,33,0.013,3,0.001,13,0.005,217,0.085,3,0.001,0,0,0,0,1,0,0,0,0.145,2541
James Le, 249,0.18,6340,4.591,0,0,0,0,0,0,0,0,0,0,0,0,63,0.046,0,0,0,0,1217,0.881,0,0,0,0,29,0.021,0,0,0,0,0,0,9,0.007,43,0.031,8,0.006,8,0.006,1,0.001,9,0.007,165,0.119,6,0.004,0,0,0,0,1,0.001,0,0,0.193,1381
Mybridge, 384,0.411,3726,3.989,0,0,0,0,0,0,0,0,0,0,0,0,173,0.185,0,0,0,0,729,0.781,0,0,0,0,46,0.049,0,0,0,0,0,0,1,0.001,29,0.031,37,0.04,39,0.042,1,0.001,5,0.005,125,0.134,2,0.002,0,0,0,0,0,0,0,0,0.545,934
Mybridge, 321,0.329,3752,3.84,0,0,0,0,3,0.003,1,0.001,0,0,0,0,167,0.171,0,0,0,0,763,0.781,0,0,0,0,45,0.046,0,0,0,0,0,0,0,0,11,0.011,39,0.04,41,0.042,0,0,3,0.003,127,0.13,4,0.004,0,0,0,0,0,0,0,0,0.493,977
Eugenio Culurciello, 258,0.143,7598,4.209,0,0,0,0,0,0,0,0,0,0,0,0,62,0.034,0,0,0,0,1620,0.898,0,0,0,0,31,0.017,0,0,0,0,0,0,0,0,23,0.013,15,0.008,15,0.008,5,0.003,7,0.004,190,0.105,3,0.002,0,0,0,0,0,0,0,0,0.164,1805
Eugenio Culurciello, 174,0.085,9105,4.457,0,0,0,0,0,0,0,0,0,0,0,0,18,0.009,0,0,0,0,1862,0.911,0,0,0,0,43,0.021,0,0,0,0,0,0,0,0,46,0.023,4,0.002,4,0.002,2,0.001,2,0.001,219,0.107,0,0,0,0,0,0,0,0,0,0,0.137,2043
Milo Spencer-Harper, 82,0.102,3098,3.848,0,0,0,0,0,0,0,0,0,0,0,0,20,0.025,0,0,0,0,702,0.872,0,0,0,0,19,0.024,0,0,0,0,0,0,0,0,1,0.001,11,0.014,11,0.014,0,0,14,0.017,84,0.104,0,0,0,0,0,0,0,0,0,0,0.143,805
Milo Spencer-Harper, 146,0.108,5882,4.364,0,0,0,0,0,0,0,0,0,0,0,0,23,0.017,0,0,0,0,1210,0.898,0,0,0,0,23,0.017,0,0,0,0,0,0,0,0,6,0.004,7,0.005,7,0.005,12,0.009,24,0.018,155,0.115,1,0.001,0,0,1,0.001,0,0,0,0,0.184,1348
Greg Fish, 68,0.09,3161,4.181,0,0,0,0,0,0,0,0,0,0,0,0,1,0.001,0,0,0,0,698,0.923,0,0,0,0,6,0.008,0,0,0,0,0,0,0,0,3,0.004,0,0,0,0,0,0,15,0.02,59,0.078,0,0,0,0,0,0,0,0,0,0,0.111,756
Greg Fish, 60,0.057,4516,4.277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,977,0.925,0,0,0,0,7,0.007,0,0,0,0,0,0,0,0,1,0.001,0,0,0,0,0,0,31,0.029,79,0.075,0,0,0,0,0,0,0,0,0,0,0.103,1056
Frank Diana, 140,0.086,8197,5.06,0,0,0,0,0,0,0,0,0,0,0,0,37,0.023,0,0,0,0,1494,0.922,0,0,0,0,20,0.012,0,0,0,0,0,0,0,0,20,0.012,5,0.003,5,0.003,1,0.001,4,0.002,174,0.107,0,0,0,0,0,0,0,0,0,0,0.164,1620
Frank Diana, 83,0.114,3021,4.155,0,0,0,0,0,0,0,0,0,0,0,0,20,0.028,0,0,0,0,650,0.894,0,0,0,0,17,0.023,0,0,0,0,0,0,0,0,11,0.015,5,0.007,5,0.007,5,0.007,10,0.014,78,0.107,0,0,0,0,0,0,0,0,0,0,0.189,727
François Chollet, 319,0.073,20271,4.615,0,0,0,0,0,0,0,0,0,0,0,0,138,0.031,0,0,0,0,4002,0.911,0,0,0,0,38,0.009,0,0,0,0,0,0,0,0,144,0.033,12,0.003,12,0.003,22,0.005,43,0.01,505,0.115,3,0.001,0,0,2,0,0,0,0,0,0.138,4392
François Chollet, 272,0.078,15496,4.461,0,0,0,0,0,0,0,0,0,0,0,0,48,0.014,0,0,0,0,3193,0.919,0,0,0,0,40,0.012,0,0,0,0,0,0,0,0,58,0.017,4,0.001,4,0.001,10,0.003,48,0.014,358,0.103,0,0,0,0,0,0,0,0,0,0,0.132,3474
Max Pechyonkin, 185,0.11,7531,4.475,0,0,0,0,0,0,0,0,0,0,0,0,20,0.012,0,0,0,0,1550,0.921,0,0,0,0,31,0.018,0,0,0,0,0,0,0,0,15,0.009,6,0.004,6,0.004,2,0.001,8,0.005,158,0.094,0,0,0,0,0,0,0,0,0,0,0.152,1683
Max Pechyonkin, 127,0.082,6928,4.47,0,0,0,0,0,0,0,0,0,0,0,0,10,0.006,0,0,0,0,1443,0.931,0,0,0,0,29,0.019,0,0,0,0,0,0,0,0,6,0.004,5,0.003,5,0.003,4,0.003,10,0.006,130,0.084,0,0,0,0,0,0,0,0,0,0,0.136,1550
Slav Ivanov, 958,0.278,12276,3.556,0,0,0,0,0,0,0,0,0,0,0,0,342,0.099,0,0,0,0,3028,0.877,0,0,0,0,103,0.03,0,0,0,0,0,0,0,0,27,0.008,37,0.011,37,0.011,4,0.001,38,0.011,412,0.119,20,0.006,13,0.004,0,0,0,0,0,0,0.283,3452
Slav Ivanov, 168,0.109,6275,4.088,0,0,0,0,0,0,0,0,0,0,0,0,57,0.037,0,0,0,0,1360,0.886,0,0,0,0,51,0.033,0,0,0,0,0,0,0,0,7,0.005,15,0.01,15,0.01,2,0.001,13,0.008,186,0.121,2,0.001,0,0,0,0,0,0,0,0,0.19,1535
Stefan Kojouharov, 325,0.29,4971,4.434,0,0,0,0,0,0,0,0,0,0,0,0,57,0.051,0,0,0,0,728,0.649,0,0,0,0,46,0.041,0,0,0,0,0,0,6,0.005,87,0.078,7,0.006,7,0.006,5,0.004,10,0.009,356,0.318,8,0.007,0,0,0,0,0,0,0,0,0.44,1121
Stefan Kojouharov, 602,0.131,19613,4.259,0,0,0,0,0,0,0,0,0,0,0,0,223,0.048,0,0,0,0,4112,0.893,0,0,0,0,79,0.017,0,0,0,0,0,0,42,0.009,58,0.013,44,0.01,44,0.01,11,0.002,104,0.023,556,0.121,24,0.005,1,0,0,0,0,0,0,0,0.228,4605
Jim Fleming, 90,0.176,2069,4.041,0,0,0,0,0,0,0,0,0,0,0,0,2,0.004,0,0,0,0,453,0.885,0,0,0,0,16,0.031,0,0,0,0,0,0,4,0.008,4,0.008,3,0.006,3,0.006,0,0,16,0.031,52,0.102,16,0.031,0,0,0,0,0,0,0,0,0.267,512
Jim Fleming, 90,0.124,2980,4.11,0,0,0,0,0,0,0,0,0,0,0,0,25,0.034,0,0,0,0,632,0.872,0,0,0,0,20,0.028,0,0,0,0,0,0,0,0,10,0.014,11,0.015,11,0.015,5,0.007,20,0.028,70,0.097,1,0.001,0,0,0,0,0,0,0,0,0.189,725
Josh, 266,0.237,4635,4.135,0,0,0,0,0,0,0,0,0,0,0,0,91,0.081,0,0,0,0,990,0.883,0,0,0,0,25,0.022,0,0,0,0,0,0,0,0,9,0.008,5,0.004,5,0.004,2,0.002,17,0.015,151,0.135,0,0,5,0.004,0,0,0,0,0,0,0.298,1121
Josh, 270,0.123,9404,4.28,0,0,0,0,0,0,0,0,0,0,0,0,21,0.01,0,0,0,0,2019,0.919,0,0,0,0,23,0.01,0,0,0,0,0,0,0,0,7,0.003,9,0.004,9,0.004,6,0.003,41,0.019,213,0.097,0,0,0,0,0,0,0,0,0,0,0.178,2197
Matt Harvey, 175,0.13,5445,4.054,0,0,0,0,0,0,0,0,0,0,0,0,63,0.047,0,0,0,0,1191,0.887,0,0,0,0,37,0.028,0,0,0,0,0,0,0,0,9,0.007,5,0.004,5,0.004,2,0.001,30,0.022,146,0.109,2,0.001,0,0,0,0,0,0,0,0,0.18,1343
Matt Harvey, 210,0.164,4983,3.893,0,0,0,0,0,0,0,0,0,0,0,0,41,0.032,0,0,0,0,1119,0.874,0,0,0,0,32,0.025,0,0,0,0,0,0,0,0,9,0.007,9,0.007,9,0.007,2,0.002,37,0.029,150,0.117,1,0.001,0,0,0,0,0,0,0,0,0.203,1280
Jae Duk Seo, 206,0.272,3041,4.017,0,0,0,0,0,0,0,0,0,0,0,0,36,0.048,0,0,0,0,678,0.896,0,0,0,0,29,0.038,0,0,0,0,0,0,0,0,1,0.001,8,0.011,8,0.011,0,0,6,0.008,93,0.123,22,0.029,0,0,0,0,0,0,0,0,0.334,757
Jae Duk Seo, 510,0.385,4984,3.767,0,0,0,0,0,0,0,0,0,0,0,0,38,0.029,0,0,0,0,1189,0.899,0,0,0,0,45,0.034,0,0,0,0,0,0,1,0.001,2,0.002,17,0.013,17,0.013,2,0.002,3,0.002,103,0.078,58,0.044,0,0,0,0,0,0,0,0,0.464,1323
